00 Person
00 9995
00 no additional info
00 1
00 111
00 male
00 200
00 6
00 Data was recorded 60 times per second
00 Date and Time: 2/5/2024 10:48:12 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):266879.5  stage:0 time_period:30 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):270688 force plate (fx, fy, fz, mx, my, mz):0.6521053,-0.6653328,-1.107666,-17.98981,-0.707489,-0.01913261
01 timestamp(ms):270720.1 force plate (fx, fy, fz, mx, my, mz):0.6493397,-0.9078693,-0.9216309,-18.03101,-0.6741333,0.02419233
01 timestamp(ms):270753.4 force plate (fx, fy, fz, mx, my, mz):0.6489735,-0.9089794,-0.7341309,-17.97852,-0.6406555,0.02384424
01 timestamp(ms):270786.7 force plate (fx, fy, fz, mx, my, mz):0.6683846,-0.8946095,0.7631836,-18.49902,-0.6384888,-0.0569129
01 timestamp(ms):270819.5 force plate (fx, fy, fz, mx, my, mz):0.3258781,-0.8996258,0.7612305,-18.49878,-0.6546326,-0.06672621
01 timestamp(ms):270853.8 force plate (fx, fy, fz, mx, my, mz):0.6632919,-0.6478558,0.7636719,-18.50964,-0.5721436,-0.01531553
01 timestamp(ms):270883.2 force plate (fx, fy, fz, mx, my, mz):0.6530266,-1.373972,-0.5493164,-18.8418,-0.6071167,0.03120565
01 timestamp(ms):270918.2 force plate (fx, fy, fz, mx, my, mz):0.3171749,-1.382681,-0.7375488,-18.78943,-0.5899658,-0.06376982
01 timestamp(ms):270950.4 force plate (fx, fy, fz, mx, my, mz):0.6512794,-1.375746,-0.7365723,-18.78961,-0.6405945,0.0308795
01 timestamp(ms):270982.1 force plate (fx, fy, fz, mx, my, mz):0.6606808,-1.370304,0.5727539,-18.94592,-0.738678,0.03245163
01 timestamp(ms):271018.8 force plate (fx, fy, fz, mx, my, mz):0.6599483,-1.37192,0.3857422,-18.89404,-0.705658,0.03196621
01 timestamp(ms):271049.6 force plate (fx, fy, fz, mx, my, mz):0.9899197,-1.128126,0.3876953,-18.90466,-0.690094,-0.1033201
01 timestamp(ms):271083.5 force plate (fx, fy, fz, mx, my, mz):0.9908295,-0.1533909,0.01342773,-18.74103,-0.7571106,-0.1073689
01 timestamp(ms):271123.6 force plate (fx, fy, fz, mx, my, mz):0.989193,-0.6440754,0.0144043,-18.71881,-0.7570801,-0.1060472
01 timestamp(ms):271156.5 force plate (fx, fy, fz, mx, my, mz):1.321438,-0.3906078,0.01342773,-18.73065,-0.741394,0.03012228
01 timestamp(ms):271186 force plate (fx, fy, fz, mx, my, mz):0.6565475,-0.8922291,-0.3625488,-18.91553,-0.8397827,-0.2407641
01 timestamp(ms):271217.4 force plate (fx, fy, fz, mx, my, mz):0.9864235,-1.131067,-0.5495605,-18.85333,-0.7910156,-0.1037602
01 timestamp(ms):271249.2 force plate (fx, fy, fz, mx, my, mz):0.6536751,-0.6458454,-0.3625488,-18.92676,-0.8399353,-0.1990867
01 timestamp(ms):271280.8 force plate (fx, fy, fz, mx, my, mz):0.9898148,-0.8836651,-0.5480957,-18.96802,-0.7909241,-0.1460061
01 timestamp(ms):271311.3 force plate (fx, fy, fz, mx, my, mz):0.6707344,-1.124615,1.133057,-19.00934,-0.9041138,-0.009766579
01 timestamp(ms):271341.4 force plate (fx, fy, fz, mx, my, mz):0.6724815,-1.122843,1.320068,-19.06146,-0.8706055,-0.009440422
01 timestamp(ms):271380 force plate (fx, fy, fz, mx, my, mz):0.336235,-1.126837,1.319092,-19.16467,-0.8864441,-0.1031771
01 timestamp(ms):271413.7 force plate (fx, fy, fz, mx, my, mz):0.6623974,-1.606552,-0.5532227,-19.3526,-0.8729248,-0.006462097
01 timestamp(ms):271445.4 force plate (fx, fy, fz, mx, my, mz):0.6513519,-1.614811,-0.9272461,-19.35193,-0.9403076,-0.1932149
01 timestamp(ms):271476.4 force plate (fx, fy, fz, mx, my, mz):0.6513519,-1.614811,-0.9272461,-19.35193,-0.9403076,-0.1932149
01 timestamp(ms):271504 force plate (fx, fy, fz, mx, my, mz):0.3286991,-1.620674,-0.5546875,-19.14429,-1.154755,-0.1019011
01 timestamp(ms):271535.9 force plate (fx, fy, fz, mx, my, mz):0.3309898,-1.130951,-0.3674316,-19.11432,-1.05481,-0.1037316
01 timestamp(ms):271572.2 force plate (fx, fy, fz, mx, my, mz):0.3272076,-1.373634,-0.1801758,-19.15521,-1.087952,-0.06024599
01 timestamp(ms):271609.6 force plate (fx, fy, fz, mx, my, mz):0.9890175,-1.14949,-0.362793,-18.28143,-1.356049,-0.1066012
01 timestamp(ms):271642.7 force plate (fx, fy, fz, mx, my, mz):0.6590462,-1.393284,-0.3647461,-18.27094,-1.371613,0.02868414
01 timestamp(ms):271676.5 force plate (fx, fy, fz, mx, my, mz):0.3261452,-1.400742,-0.3666992,-18.27094,-1.453949,-0.0657258
01 timestamp(ms):271704.9 force plate (fx, fy, fz, mx, my, mz):0.9828758,-0.4673061,0.015625,-16.44006,-1.754761,-0.07824469
01 timestamp(ms):271737.2 force plate (fx, fy, fz, mx, my, mz):0.986227,-0.715826,-0.1704102,-16.37738,-1.854584,-0.1201677
01 timestamp(ms):271767 force plate (fx, fy, fz, mx, my, mz):1.304293,-0.7142696,-0.1713867,-16.37714,-1.839417,-0.1277742
01 timestamp(ms):271795.9 force plate (fx, fy, fz, mx, my, mz):1.314974,-0.7065067,-0.1723633,-16.37842,-1.772522,0.05884123
01 timestamp(ms):271826.2 force plate (fx, fy, fz, mx, my, mz):0.9684219,1.4326,0.395752,-14.54999,-1.954712,-0.1987786
01 timestamp(ms):271854.5 force plate (fx, fy, fz, mx, my, mz):0.9788208,1.441816,0.5827637,-14.60278,-1.987305,-0.01151991
01 timestamp(ms):271882.5 force plate (fx, fy, fz, mx, my, mz):0.9663143,1.429716,0.3959961,-14.44531,-1.954712,-0.1994538
01 timestamp(ms):271921.6 force plate (fx, fy, fz, mx, my, mz):0.9534454,1.65996,-1.099854,-13.9364,-1.823792,-0.1620145
01 timestamp(ms):271954.5 force plate (fx, fy, fz, mx, my, mz):0.9556637,1.658991,-0.5378418,-13.88403,-1.856323,-0.1621461
01 timestamp(ms):271984.9 force plate (fx, fy, fz, mx, my, mz):0.295454,1.653517,-0.7263184,-13.93628,-1.921112,-0.1640058
01 timestamp(ms):272012.6 force plate (fx, fy, fz, mx, my, mz):0.9730778,0.9387608,0.3984375,-14.11163,-1.621826,-0.01417923
01 timestamp(ms):272041.5 force plate (fx, fy, fz, mx, my, mz):0.6373329,0.9268074,0.2099609,-13.95538,-1.671143,-0.1097493
01 timestamp(ms):272070.5 force plate (fx, fy, fz, mx, my, mz):0.6398106,0.9301968,0.5839844,-14.05939,-1.670685,-0.1089382
01 timestamp(ms):272102.3 force plate (fx, fy, fz, mx, my, mz):0.6434135,0.6854382,0.7709961,-14.09985,-1.703522,-0.1501303
01 timestamp(ms):272132 force plate (fx, fy, fz, mx, my, mz):0.6328564,0.2038593,-0.9150391,-14.44244,-1.605865,-0.1469059
01 timestamp(ms):272173.7 force plate (fx, fy, fz, mx, my, mz):0.633873,0.2040157,-0.9150391,-14.44275,-1.539368,-0.1470652
